policyNumber,policyTitle,uriPolicyId,ombPolicyId,policyType,policyIssuanceYear,policySunset,reqId,issuingBody,policySection,policySubSection,reqText,verb,Impacted Entity,reqDeadline,citation,Acquisition/Contracts (Keywords),Human Capital (Keywords),Cloud (Keywords),Data Centers (Keywords),Cybersecurity (Keywords),Privacy (Keywords),Shared Services (Keywords),IT Project Management (Keywords),Software (Keywords),Digital Services (Keywords),Mobile (Keywords),Hardware/Government Furnished Equipment (GFE) (Keywords),"IT Transparency (Open Data, FOIA, Public Records, etc.) (Keywords)",Agency Statistics (Keywords),Customer Services (Keywords),Governance (Keywords),Financial Systems (Keywords),Budget (Keywords),Governance - Org Structure (Keywords),Governance - Implementation (Keywords),Data Management/Standards (Keywords),Definitions (Keywords),Reporting (Keywords),Other (Keywords)
1,25 Point Implementation Plan To Reform Federal Information Technology Management,https://www.whitehouse.gov/sites/default/files/omb/assets/egov_docs/25-point-implementation-plan-to-reform-federal-it.pdf,NA,Strategy,12/9/2010,NA,1.01,"Office of the Federal Chief Information Officer, OMB",A. Apply “Light Technology” and Shared Solutions,NA,"Agencies must focus on consolidating existing data centers, reducing the need for infrastructure growth by implementing a “Cloud First” policy for services, and increasing their use of available cloud and shared services.",Must,All CFO-Act Agencies,NA,NA,,,x,x,,,x,,,,,,,,,,,,,,,,,
1,25 Point Implementation Plan To Reform Federal Information Technology Management,https://www.whitehouse.gov/sites/default/files/omb/assets/egov_docs/25-point-implementation-plan-to-reform-federal-it.pdf,NA,Strategy,12/9/2010,NA,1.02,"Office of the Federal Chief Information Officer, OMB",A. Apply “Light Technology” and Shared Solutions,1.1 Identify agency data center program managers to lead consolidation efforts,"Within the next six months, each agency will designate a senior, dedicated data center consolidation program manager with project management experience and technical competence in IT infrastructure. Because data center consolidation requires interactions with many stakeholder groups, the data center program manager must also have strong communication skills. The data center program manager at each agency will be responsible for developing a plan with interim, verifiable milestones to reach the agency’s data center reduction target and monitor progress toward those goals.",Will; Must; Will be,All CFO-Act Agencies,6/8/2011,NA,,,,x,,,,,,,,,,,,,,,x,,,,,
1,25 Point Implementation Plan To Reform Federal Information Technology Management,https://www.whitehouse.gov/sites/default/files/omb/assets/egov_docs/25-point-implementation-plan-to-reform-federal-it.pdf,NA,Strategy,12/9/2010,NA,1.03,"Office of the Federal Chief Information Officer, OMB",A. Apply “Light Technology” and Shared Solutions,1.2  Launch a Data Center Consolidation Task Force to ensure successful execution,"Within the next three months, the Federal CIO Council will launch a government-wide Data Center Consolidation Task Force comprised of the data center program managers, facilities managers, and sustainability officers. The Data Center Consolidation Task Force will be responsible for working together to share progress toward individual agency goals and the overall Federal target of a minimum of 800 data center closures by 2015. The Data Center Consolidation Task Force will meet monthly to review progress of each consolidation project and ensure government-wide alignment between agency efforts where appropriate. The Task Force will serve as a “community of practice” for Agency CIOs and data center program managers to share best practices from this effort and enhance consolidation effectiveness.",Will; Will be,CIOC,3/10/2011,NA,,,,x,,,,,,,,,,,,,,,,x,,,,
1,25 Point Implementation Plan To Reform Federal Information Technology Management,https://www.whitehouse.gov/sites/default/files/omb/assets/egov_docs/25-point-implementation-plan-to-reform-federal-it.pdf,NA,Strategy,12/9/2010,NA,1.04,"Office of the Federal Chief Information Officer, OMB",A. Apply “Light Technology” and Shared Solutions,1.3  Launch a publicly available dashboard to track data center consolidation progress,OMB will launch a publicly available dashboard to serve as a window into progress of the data center consolidation program.,Will,OMB,NA,NA,,,,x,,,,,,,,,,x,,,,,,,,,x,
1,25 Point Implementation Plan To Reform Federal Information Technology Management,https://www.whitehouse.gov/sites/default/files/omb/assets/egov_docs/25-point-implementation-plan-to-reform-federal-it.pdf,NA,Strategy,12/9/2010,NA,1.05,"Office of the Federal Chief Information Officer, OMB",A. Apply “Light Technology” and Shared Solutions,2. Create a government-wide marketplace for data center availability,"Within the next 18 months, OMB and GSA will create a government-wide marketplace that better utilizes
spare capacity within operational data centers.",Will,OMB; GSA,NA,NA,,,,x,,,,,,,,,,,,,,,,x,,,,
1,25 Point Implementation Plan To Reform Federal Information Technology Management,https://www.whitehouse.gov/sites/default/files/omb/assets/egov_docs/25-point-implementation-plan-to-reform-federal-it.pdf,NA,Strategy,12/9/2010,NA,1.06,"Office of the Federal Chief Information Officer, OMB",A. Apply “Light Technology” and Shared Solutions,3. Shift to a “Cloud First” policy,"Beginning immediately, the Federal Government will shift to a ""Cloud First"" policy. The three-part strategy on cloud technology will revolve around using commercial could where feasible, launching private government clouds, and utilizing regional clouds with state and local governments where appropriate.",Will,All CFO-Act Agencies,12/10/2010,NA,,,x,,,,,,,,,,,,,,,,,,,,,
1,25 Point Implementation Plan To Reform Federal Information Technology Management,https://www.whitehouse.gov/sites/default/files/omb/assets/egov_docs/25-point-implementation-plan-to-reform-federal-it.pdf,NA,Strategy,12/9/2010,NA,1.07,"Office of the Federal Chief Information Officer, OMB",A. Apply “Light Technology” and Shared Solutions,3. Shift to a “Cloud First” policy,"When evaluating options for new IT deployments, OMB will require that agencies default to cloud-based solutions whenever a secure, reliable, cost-effective cloud option exists. To facilitate this shift, we will be standing up secure government-wide cloud computing platforms.",Will require,OMB; All CFO-Act Agencies,NA,NA,,,x,,,,x,,,,,,,,,,,,,,,,,
1,25 Point Implementation Plan To Reform Federal Information Technology Management,https://www.whitehouse.gov/sites/default/files/omb/assets/egov_docs/25-point-implementation-plan-to-reform-federal-it.pdf,NA,Strategy,12/9/2010,NA,1.08,"Office of the Federal Chief Information Officer, OMB",A. Apply “Light Technology” and Shared Solutions,3.1 Publish cloud strategy,"Within the next six months, the Federal CIO will publish a strategy to accelerate the safe and secure adoption of cloud computing across the government.",Will,Federal CIO,6/8/2011,NA,,,x,,,,,,,,,,,,,,,,,,,,,
1,25 Point Implementation Plan To Reform Federal Information Technology Management,https://www.whitehouse.gov/sites/default/files/omb/assets/egov_docs/25-point-implementation-plan-to-reform-federal-it.pdf,NA,Strategy,12/9/2010,NA,1.09,"Office of the Federal Chief Information Officer, OMB",A. Apply “Light Technology” and Shared Solutions,3.1 Publish cloud strategy,"The National Institute of Standards and Technology (NIST) will facilitate and lead the development of standards for security, interoperability, and portability.",Will,NIST,NA,NA,,,x,,,,,,,,,,,,,,,,,,x,,,
1,25 Point Implementation Plan To Reform Federal Information Technology Management,https://www.whitehouse.gov/sites/default/files/omb/assets/egov_docs/25-point-implementation-plan-to-reform-federal-it.pdf,NA,Strategy,12/9/2010,NA,1.1,"Office of the Federal Chief Information Officer, OMB",A. Apply “Light Technology” and Shared Solutions,3.2 Jump-start the migration to cloud technologies,"Each Agency CIO will be required to identify three “must move” services and create a project plan for migrating each of them to cloud solutions and retiring the associated legacy systems. Of the three, at least one of the services must fully migrate to a cloud solution within 12 months and the remaining two within 18 months. Each migration plan will include major milestones, execution risks, adoption targets, and required resources, as well as a retirement plan for legacy services once cloud services are online. These new cloud implementations should be compatible with the secure, certified platforms currently provided in the private sector.","Will, Must, Should",All CFO Act Agencies,12/5/2011; 6/2/2012,NA,,,x,,,,,,,,,,,,,,,,,,,,,
